Cidade;Estado;Data;Feriado;Tipo
Adamantina;SP;01/01/2023;Ano Novo;Feriado Nacional
Adamantina;SP;20/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;21/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;22/02/2023;Carnaval;Feriado Nacional
Adamantina;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Adamantina;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Adamantina;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Adamantina;SP;08/06/2023;Corpus Christi;Feriado Nacional
Adamantina;SP;13/06/2023;Dia De Santo Antônio;Feriado Municipal
Adamantina;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Adamantina;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Adamantina;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Adamantina;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Adamantina;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Adamantina;SP;02/11/2023;Dia De Finados;Feriado Nacional
Adamantina;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Adamantina;SP;08/12/2023;Feriado Municipal;Feriado Municipal
Adamantina;SP;25/12/2023;Natal;Feriado Nacional
Adolfo;SP;01/01/2023;Ano Novo;Feriado Nacional
Adolfo;SP;20/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;21/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;22/02/2023;Carnaval;Feriado Nacional
Adolfo;SP;19/03/2023;São José;Feriado Municipal
Adolfo;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Adolfo;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Adolfo;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Adolfo;SP;08/06/2023;Corpus Christi;Feriado Nacional
Adolfo;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Adolfo;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Adolfo;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Adolfo;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Adolfo;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Adolfo;SP;02/11/2023;Dia De Finados;Feriado Nacional
Adolfo;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Adolfo;SP;30/11/2023;Feriado Municipal;Feriado Municipal
Adolfo;SP;25/12/2023;Natal;Feriado Nacional
Aguaí;SP;01/01/2023;Ano Novo;Feriado Nacional
Aguaí;SP;20/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;21/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;22/02/2023;Carnaval;Feriado Nacional
Aguaí;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Aguaí;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Aguaí;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Aguaí;SP;08/06/2023;Corpus Christi;Feriado Nacional
Aguaí;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Aguaí;SP;06/08/2023;Aniversário;Feriado Municipal
Aguaí;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Aguaí;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Aguaí;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Aguaí;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Aguaí;SP;02/11/2023;Dia De Finados;Feriado Nacional
Aguaí;SP;15/11/2023;Proclamação Da República;Feriado Nacional
Aguaí;SP;20/11/2023;Dia Da Consciência Negra;Feriado Municipal
Aguaí;SP;25/12/2023;Natal;Feriado Nacional
Águas da Prata;SP;01/01/2023;Ano Novo;Feriado Nacional
Águas da Prata;SP;11/02/2023;Feriado Municipal;Feriado Municipal
Águas da Prata;SP;20/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;21/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;22/02/2023;Carnaval;Feriado Nacional
Águas da Prata;SP;07/04/2023;Sexta Feira Santa;Feriado Nacional
Águas da Prata;SP;21/04/2023;Dia De Tiradentes;Feriado Nacional
Águas da Prata;SP;01/05/2023;Dia Do Trabalho;Feriado Nacional
Águas da Prata;SP;08/06/2023;Corpus Christi;Feriado Nacional
Águas da Prata;SP;03/07/2023;Feriado Municipal;Feriado Municipal
Águas da Prata;SP;09/07/2023;Revolução Constitucionalista;Feriado Estadual
Águas da Prata;SP;07/09/2023;Independência Do Brasil;Feriado Nacional
Águas da Prata;SP;12/10/2023;Nossa Senhora Aparecida;Feriado Nacional
Águas da Prata;SP;15/10/2023;Dia Do Professor;Feriado Nacional
Águas da Prata;SP;28/10/2023;Dia Do Servidor Público;Feriado Nacional
Águas da Prata;SP;02/11/2023;Dia De Finados;Feriado Nacional
Águas da Prata;SP;15/11/2023;Proclamação Da República;Feriado Nacional
